127,54 Clermont Street,Hartford,CT,06106
128,"899 Park Street, apt 3E",Hartford,CT,06106
129,99 Marion Street,Hartford,CT,06106
130,30 Roslyn Street,Hartford,CT,06106
131,"34 Whitmore Street, A2",Hartford,CT,06106
132,65 Sisson Avenue,Hartford,CT,06106
133,116 Hollywood Avenue,Hartford,CT,06110
134,"63 Allen Place, Apt 3",Hartford,CT,06106
135,53 Storrs Street,Hartford,CT,06106
136,"306 Blue Hills Avenue, Apt. 3",Hartford,CT,06112
137,209 Saybrooke Street,Hartford,CT,06106
138,122 Putnam Street,Hartford,CT,06106
139,14 Colonial St.,Hartford,CT,06106
140,225 South Marshall Street,Hartford,CT,06105
141,16 Groton Street,Hartford,CT,06106
142,30 Ferry Street,Middletown,CT,06457
143,49 Wells Avenue,East Hartford,CT,06108
144,143 White Rock Drive,Windsor,CT,06095
145,127 Holland Lane,East Hartford,CT,06118
146,"168 Hungerford Street, apt 202",Hartford,CT,06106
147,492 Ellis Street,New Britain,CT,06051
148,41 Pawtucket Street,Hartford,CT,06114
149,555 Zion Street,Hartford,CT,06106
150,27 Hamilton Street,Hartford,CT,06106
151,40 Steeple view Drive,Ellington,CT,06029
152,95 Reservoir Road,New Britain,CT,06052
153,"1247 East Street, unit D",New Britain,CT,06053
154,5211 Town Brooke,Middletown,CT,06457
155,47 Alden Street,Hartford,CT,06114
156,"55 Sargeant Street, 2 floor",Hartford,CT,06105
157,"100 Shultas Place, 2-w",Hartford,CT,06114
158,40 Lisa Drive,Manchester,CT,06042
159,1660 Main Street,Hartford,CT,06120
160,41 N Park Street,Ellington,CT,06029
161,6 Wood Drive,Enfield,CT,06082
162,237 Ridge Crest Circle,Wethersfield,CT,06109
163,31 Hill Rd,Wallingford,CT,06492
164,"256 Richard Street, unit 4",Newington,CT,06111
165,168 Benton Street,Hartford,CT,06114
166,"474 Edgewood Street, 2nd",Hartford,CT,06112
167,54 Martin Street,Hartford,CT,06120
168,"76 Webster Street, Apt D7",Hartford,CT,06114
169,"1306 East Street, apt 201",New Britain,CT,06053
170,198 Park Street,Hartford,CT,06106
171,"76 Pliny Street, Apt 155",Hartford,CT,06120
172,23 Alden Avenue,Enfield,CT,06082
173,37 Ridgewood Road,East Hartford,CT,06118
174,104 Wood Creek Road,Burlington,CT,06013
175,17 Brookside Circle,Wethersfield,CT,06109
176,127 Holland Lane,East Hartford,CT,06118
